run_id,run_description,adsorbent,adsorbent_mass,adsorbent_mass_units,adsorbate,adsorbate_mass,adsorbate_mass_units,temperature_units,pressure_units,adsorption_units,temperature,pressure,adsorption,uncertainty,branch,notes
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,-0.882,1.99,4,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,-0.542,2.50,0,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,-0.129,3.04,5,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.143,3.46,4,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.264,3.63,0,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.483,4.07,8,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.583,4.22,5,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.659,4.40,0,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.709,4.54,7,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.763,4.74,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.818,4.87,8,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.844,4.95,7,A,Saturation
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.834,4.92,8,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.822,4.87,9,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.798,4.84,4,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,CO2,44.01,g/mol,K,log10(mmHg),mg,150.71,0.766,4.75,1,D,
