run_id,run_description,adsorbent,adsorbent_mass,adsorbent_mass_units,adsorbate,adsorbate_mass,adsorbate_mass_units,temperature_units,pressure_units,adsorption_units,temperature,pressure,adsorption,uncertainty,branch,notes
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,1.0000,28.31,9,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.9819,28.29,8,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.9657,28.25,8,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.9375,28.18,0,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.9016,28.15,5,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.8663,28.13,3,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.8314,28.09,7,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.8026,28.06,7,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.7610,28.00,0,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.7234,27.88,7,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.6836,27.80,1,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.6659,27.77,0,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.6222,27.65,1,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.5877,27.57,0,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.5526,27.45,8,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.5173,27.26,8,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.5013,26.65,1,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4917,23.95,1,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4748,20.18,3,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4604,17.48,6,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4429,15.06,1,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4236,13.62,6,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4029,12.67,7,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.3764,11.78,3,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.3511,11.06,5,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.3294,10.49,5,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.2877,9.70,7,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.2352,8.75,6,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.1728,7.71,1,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.1215,6.79,9,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.0749,5.79,4,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.0406,4.85,6,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.0117,3.52,2,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.0065,3.08,0,D,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.0326,4.54,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.0506,5.13,6,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.0988,6.27,8,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.1417,7.12,5,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.1991,8.12,8,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.2643,9.05,6,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.3010,9.75,5,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.3452,10.59,4,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.3814,11.31,0,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4271,12.29,5,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.4764,13.59,4,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.5146,14.93,2,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.5467,16.18,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.5726,17.32,9,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.6069,19.61,1,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.6391,21.50,2,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.6666,24.16,9,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.6925,25.81,2,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.7134,26.79,0,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.7347,27.56,4,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.7498,27.82,7,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.7740,28.00,9,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.7842,28.05,4,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.8252,28.18,7,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.8469,28.24,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,0.9358,28.31,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,relative,mg,117.41,1.0000,28.41,4,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,0.819,2.18,7,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,1.2462,2.89,8,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,1.4567,3.33,9,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,1.6128,3.75,9,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,1.7178,4.09,3,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,1.8632,4.50,2,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,1.9326,4.77,7,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Kr,83.798,g/mol,K,log10(mmHg),mg,128.3,2.0247,5.12,8,A,
