run_id,run_description,adsorbent,adsorbent_mass,adsorbent_mass_units,adsorbate,adsorbate_mass,adsorbate_mass_units,temperature_units,pressure_units,adsorption_units,temperature,pressure,adsorption,uncertainty,branch,notes
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.001,2.54,1,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.046,5.34,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.131,7.12,7,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.278,9.42,5,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.383,11.06,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.470,12.64,3,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.609,15.43,7,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.661,17.00,4,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.688,18.20,2,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.729,20.10,1,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.766,22.13,5,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.798,24.47,1,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.836,27.48,8,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.852,30.54,6,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.884,33.36,9,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,0.918,35.95,7,A,
1,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,116.68,1.000,37.00,9,A,Cryostat breakdown before desorption was attempted
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.001,1.49,9,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.1400,6.20,3,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.2592,8.38,5,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.4107,12.58,4,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.063,4.61,4,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.130,6.15,4,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.2218,7.66,1,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.3260,9.39,0,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.5210,13.25,0,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.8176,26.17,2,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.8830,33.10,2,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.9120,35.06,8,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.9717,36.17,8,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.9950,36.35,8,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,1.0000,36.45,4,A,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.009,2.70,6,D,
2,Boundary Isotherm,Vycor Glass,61.6,mg,Xe,131.293,g/mol,K,relative,mg,121.48,0.2120,7.55,8,A,
